lyrics,singer,song
"I just want you to fit my life
But the pieces are complicated
We been doing it wrong
We just need some compromising


Do you see, darling?
Are you listening?
I'm still trying
Maybe I could make you change your ways


Say we kick back
We relapse
Moving too fast, let's recap
Not focused on facts it's a cap
Moving too, fast let's recap
Say we kick back
We relapse
Moving too fast, let's recap
Not focused on facts it's a cap
Moving too, fast let's recap


It's your life, it's your world
I don't mean to interfere
It's your life, it's amazing
But I want you to fit in mine, mine


I need a recap
Came through for the night cap
In the S class, and you can't see through the glass
I keep the tint on
To protect the mood
Let me play a song
I need to see you move
You a bad lil thang with a attitude
But this patek on my wrist might change yourview
Reservation, she like Nobu
I can shut the building down
And make a table for two
The way I put it on can't be taboo
I know it's been so long I been waiting on you
Been through this before
Feelings can't ignore
I know what's in store
I need more décor
I thought love and war was impossible
Ain't nothin' stopping you
Ain't nothin' stopping you


Do you see, darling?
Are you listening?
I'm still trying
Maybe I could make you change your ways


Say we kick back
We relapse
Moving too fast, let's recap
Not focused on facts it's a cap
Moving too, fast let's recap
Say we kick back
We relapse
Moving too fast, let's recap
Not focused on facts it's a cap
Moving too, fast let's recap


It's your life, it's your world
I don't mean to interfere
It's your life, it's amazing
But I want you to fit in mine, mine","R3hab, Lukas Graham",Most People (R3HAB VIP Remix)
"I hear your heart beat to the beat of the drums
Oh what a shame that you came here with someone
So while youre here in my arms
Lets make the most of the night like we're gonna die young

Were gonna die young
Were gonna die young

Lets make the most of the night like we're gonna die young

[Beat break]

Lets make the most of the night like we're gonna die young

Young hearts, out our minds
Runnin like we outta time
Wild childs, lookin good
Livin hard just like we should
Dont care whose watching when we tearing it up (You Know)
That magic that we got nobody can touch (For sure)

Looking for some trouble tonight
Take my hand, Ill show you the wild, side
Like its the last night of our lives
Well keep dancing till we die

I hear your heart beat to the beat of the drums
Oh what a shame that you came here with someone
So while youre here in my arms,
Lets make the most of the night like were gonna die young

Were gonna die young
Were gonna die young

Lets make the most of the night like were gonna die young

[Beat break]

Lets make the most of the night like were gonna die young

Young hunks, taking shots
Stripping down to dirty socks
Music up, gettin hot
Kiss me, give me all youve got
Its pretty obvious that youve got a crush (you know)
That magic in your pants, its making me blush (for sure)

Looking for some trouble tonight
Take my hand ill show you the wild side
Like its the last night of our lives
Well keep dancing till we die

I hear your heart beat to the beat of the drums
Oh what a shame that you came here with someone
So while youre here in my arms,
Lets make the most of the night like we're gonna die young

I hear your heart beat to the beat of the drums
Oh what a shame that you came here with someone
So while youre here in my arms
Lets make the most of the night like we're gonna die young

Were gonna die young
Were gonna die young

Lets make the most of the night like we're gonna die young

This is probably the 2nd single in the new album Warrior",Jax Jones,"Instruction (Feat. Demi Lovato, Stefflon Don)"
"Hmm
You might think I'm crazy
The way I've been cravin'
If I put it quite plainly
Just gimme them babies
So, what you doing tonight?
Better say, Doin' you right (yeah)
Watchin' movies, but we ain't seen a thing tonight (yeah)
I don't wanna keep you up (you up)
But show me, can you keep it up? (It up)
'Cause then I'll have to keep you up
Shit, maybe I'ma keep you up, boy
I've been drinking coffee (I've been drinking coffee)
And I've been eating healthy (and I've been eating healthy)
Know I keep it squeaky, yeah (know I keep it squeaky)
Saving up my energy (yeah, yeah, saving up my energy)
Can you stay up all night?
Fuck me 'til the daylight
34, 35 (yeah, yeah, yeah, yеah)
Can you stay up all night? (all night)
Fuck me 'til the daylight
34, 35 (yеah, yeah, yeah, yeah)
You drink it just like water (water)
You say, It tastes like candy
So what you doing tonight? (tonight)
Better say, Doin' you right (alright)
Watchin' movies, but we ain't seen a thing tonight (yeah)
I don't wanna keep you up (you up)
But show me, can you keep it up? (it up)
'Cause then I'll have to keep you up
Shit, maybe I'ma keep you up, boy
I've been drinking coffee (said, I've been drinking coffee)
And I've been eating healthy (and I've been eating healthy)
Know I keep it squeaky, yeah (except this wine, babe)
Saving up my energy (yeah, yeah, yeah)
Can you stay up all night? (all night)
Fuck me 'til the daylight (daylight)
34, 35 (yeah, yeah, yeah, yeah, 35, babe)
Can you stay up all night? (can you stay?)
Fuck me 'til the daylight (can you stay?)
34, 35 (yeah, yeah, yeah, yeah)
Oh-yeah-yeah
Baby, you might need a seatbelt when I ride it
I'ma leave it open like a door, come inside it
Even though I'm wifey, you can hit it like a side chick
Don't need no side dick, no
Got the neighbors yellin', Earthquake (earthquake)
4.5 when I make the bed shake (bed shake)
Put it down heavy even though it's lightweight (it's lightweight)
(It's lightweight, yeah, yeah, yeah, babe)
Yeah, we started at midnight, go 'til the sunrise (sunrise)
Done at the same time (yeah)
But who's counting the time when we got it for life? (got it for life)
I know all your favorite spots (favorite spots)
We can take it from the top (from the top)
You such a dream come true, true
Make a bitch wanna hit snooze, ooh
Can you stay up all night?
Fuck me 'til the daylight (yeah-yeah)
34, 35 (yeah, yeah, yeah, yeah, 34, 35)
Can you stay up all night? (do you know what that mean?)
Fuck me 'til the daylight (you know what that mean)
34, 35 (yeah, yeah, yeah, yeah) yeah, yeah, yeah
Means I wanna 69 wit' ya', no shit
Math class, never was good",Lost Kings,Runaway (Feat. Destiny Rogers)
"My body's, callin' callin',
can you pick up one on one 
Your body's, talkin' talkin',
say what you want

Girl who are you waiting for
You know that you wanna go yeah

We'll take the highway to heaven
and I can't wait to love you all alone
(Oh yeah yeah yeah yeah oh yeah yeah)
We'll take the highway to heaven
on the 101 let's see just where it goes
(Oh yeah yeah yeah yeah oh yeah yeah)

Ha, Look! Pull up
Baby you a bad girl (watch yo mouth)
When I'm with you it's a vibe baby I can't lie
Hit my line Anytime
Girl I wanna make you mine Spend some time
Look! Skrrr pull up in the coupe beep beep 
Girl I got your loving on repeat
And I bet you never had it like this 
Real good Loving Light up your wrist

Last call are you coming with me
I got some things you want to see
Tell all your friends that you're busy they know
They know we got the chemistry
Love how your body feels on me
When you get back let me get that Oh

We'll take the highway to heaven
and I can't wait to love you all alone
(Oh yeah yeah yeah yeah oh yeah yeah)
We'll take the highway to heaven
on the 101 let's see just where it goes
(Oh yeah yeah yeah yeah oh yeah yeah)

We'll take the highway to heaven,
highway to heaven
(Oh yeah yeah yeah)
We'll take the highway to heaven,
highway to heaven
(Oh yeah yeah yeah)

Baby you should know I won't let you go
I'll show you the world if you say so
Oh she's so bad
I'll make it last and baby I can't leave you alone

We'll take the highway to heaven
and I can't wait to love you all alone
(Oh yeah yeah yeah yeah oh yeah yeah)
We'll take the highway to heaven
on the 101 let's see just where it goes
(Oh yeah yeah yeah yeah oh yeah yeah)

We'll take the highway to heaven,
(Oh yeah yeah yeah)
We'll take the highway to heaven,
highway to heaven
(Oh yeah yeah yeah)

We'll take the highway to heaven
We'll take the highway to heaven",Joel Corry,I Wish (Feat. Mabel)
"Oh oh
One foot in front of the other babe
One breath leads to another yeah
Just keep moving oh
Look within for the strength today
Listen out for the voice to say
Just keep moving oh
Go go go
Figure it out figure it out 
but don't stop moving
Go go go
Figure it out figure it out 
you can do this
So my love keep on running
You gotta get through today
There my love keep on running
Gotta keep those tears at bay
Oh my love don't stop burning
Gonna send them up in flames
In flames
Don't stop 
tomorrow's another day
Don't stop 
tomorrow you'll feel no pain
Just keep moving
oh 
Don't stop the past'll trip you up
You know 
right now's gotta be enough
Just keep moving oh 
Go go go
Figure it out figure it out 
but don't stop moving
Go go go
Figure it out figure it out 
you can do this
So my love keep on running
You gotta get trough today
There my love keep on running
Gotta keep those tears at bay
Oh my love don't stop burning
Gonna send them up in flames
In flames
In flames
In flames
Go go go
Figure it out figure it out 
but don't stop moving
Go go go
Figure it out figure it out 
you can do this
So my love keep on running
You gotta get through today
Then my love keep on running
Gotta keep those tears at bay
Oh my love don't stop burning
Gonna send them up in flames
In flames",Surf Mesa,"Another Life (Feat. Fletcher, Josh Golden)"
"Tell me bout your dreaming
I believe I was there too
I could sense your breathing
Lying in a different room

Cuz Laws of the universe
Always there to observe
You shimmer
Your inner compass is taking you there
I'll be your beacon illuminate
while you on your way
Girl I've been there too

Don't be afraid tonight afraid tonight
Just know you never be lonely
I know it's hard sometimes
to see the light
But you and I keep on dreaming
(come on)

We gon' light it up
Light it up now darling
We can make the stars align
We gon' light it up
Light it up now we sparkling
Brighter than the fireflies

Think it then believe it
And truth'll find its way
I know that you'll see it
If you come with me
(alright alright hey)

Show you what it's all about
Now we're gonna go all out
don't gotta sing the blues
If you ever need me shout
I'll always be around
Girl I've been there too

Don't be afraid tonight afraid tonight
Just know you never be lonely
I know it's hard sometimes to see the light
But you and I keep on dreaming

We gon' light it up
Light it up now darling
We can make the stars align

We gon' light it up
Light it up now we sparkling
Brighter than the fireflies

We gonna light it up
Look how we shining now
You know it's only love
Brighter than the fireflies

Light it up
Light it up
Like it's the first day of our lives
Fireflies fireflies
They see us dancing in the sky

We gon' light it up
Light it up now darling
We can make the stars align

We gon' light it up
Light it up now we sparkling
Brighter than the fireflies
(keep shining)

We gonna light it up
Look how we shining now
You know it's only love
Brighter than the fireflies

Fireflies",Clean Bandit,Rather Be (Feat. Jess Glynne)
"Think I forgot to breathe
Did you forget my name
I wrote your symphonies
They all just sound the same
Don't know what I believe in
'Cause I just kept moving on
Said I should take a seat
I know where I came from
I got new love
Love in me
I got new love
Love in me
I got new love
Love in me
I got new love
I got new love in me
I got new love
I got new love in me
I got new love
I got new love in me
I got new love
I got new love in me
I got new love
I got new love in me
Didn't always like myself
Didn't always get it right
Thought I was someone else
And that's the girl you liked
Don't know what I believe in
'Cause I just kept moving on
Said I should take a seat
I know where I came from
I got new love
I got new love in me
I got new love
I got new love in me
I got new love
I got new love in me
I got new love
If you could see me now
I got a feeling
you'd be dancing next to me
I'm on my own
but I could never be lonely
I got new love in me now
Got electricity in every bone like wow
I'm overthinking
that I'm not who I should be
I got new love in me
I got new love
Love in me
I got new love
Love in me
I got new love
Love in me
I got new love
If you could see me now
I got new love
I got new love in me
I got new love
I got new love in me
I got new love
I got new love in me
I got new love
I got new love in me
I got electricity in every bone like wow
I'm over thinking
that I'm not who I should be
I got new love in me
I got new love
If you could see me now
I got new love
(I got new love in me) Love in me
I got new love","Joel Corry, Raye, David Guetta",BED
"I know we've been close since we were kids
And you used to swing my way, knock my door, come out to play
You'd tell me everything I'm always listening
To the stories that we made while we were sipping lemonade

But there's something in our soda, now we're boozing, now we're older
We get nervous every time that we get close
But the music's gеtting louder and the drinks are gеtting harder
Everybody knows the way that this thing goes

Take my hand and pull me closer
Kiss me now before I'm sober
I don't wanna run away, run away, run away
I don't wanna run away, run away, run away
I'm singing hallelujah
I think my shirt would suit ya
I don't wanna run away, run away, run away
I don't wanna run away, run away, run away

I don't wanna run away, run away, run away

It happens every time that we go out
Wish that I could walk you home, instead I text you on your phone
Some drunken message that I know that I'll regret
It was simple in the days, when we were sipping lemonade

But there's something in our soda, now we're boozing, now we're older
We get nervous every time that we get close
But the music's getting louder and the drinks are getting harder
Everybody knows the way that this thing goes

Take my hand and pull me closer
Kiss me now before I'm sober
I don't wanna run away, run away, run away
I don't wanna run away, run away, run away
I'm singing hallelujah
I think my shirt would suit ya
I don't wanna run away, run away, run away
I don't wanna run away, run away, run away

Won't ya stay with me tonight",Yung Bae,"Silver and Gold (Feat. Sam Fischer, Pink Sweat$)"
"Everybody gets high sometimes, you know
What else can we do when we're feeling low?
So take a deep breath and let it go
You shouldn't be drowning on your own

And if you feel you're sinking, 
I will jump right over
Into cold, cold water for you
And although time may take us 
into different places
I will still be patient with you
And I hope you know

I won't let go
I'll be your lifeline tonight
I won't let go
I'll be your lifeline tonight

Cause we all get lost sometimes, you know?
It's how we learn and how we grow
And I wanna lay with you 'til I'm old
You shouldn't be fighting on your own

And if you feel you're sinking, 
I will jump right over
Into cold, cold water for you
And although time may take us 
into different places
I will still be patient with you
And I hope you know

I won't let go 
(I won't let go, no no, no no no no)
I'll be your lifeline tonight
I won't let go
I'll be your lifeline tonight

Come on, come on
Save me from my rocking boat
I just wanna stay afloat
I'm all alone
And I hope, I hope someone come 
and take me home
Somewhere I can rest my soul
I need to know you won't let go

I won't let go, no no, no no no no
I'll be your lifeline tonight
You won't let go
I'll be your lifeline tonight

I won't let go
I won't let go",Britney Spears,Oops!... I Did It Again
"Say baby, say baby, say baby
What you doin 
(what you doin)

Where you at
(where you at)

Oh you got plans  
(you got plans)

Don't say that       
(shut yo trap)

I'm sippin wine     
(sip sip)

In a robe               
(drip drip)

I look too good    
(look too good)

To be alone         
(wooohooo)

My house clean  
(house clean)
 
My pool warm   
(pool warm)
 
Just shaved        
(smooth like a new born)

 We should be dancing, romancing
In the east wing and the west wing
Of this mansion, what's happenin

 I aint playin no games
Every word that I say 
Is coming straight from the heart
(so if you tryna lay in these arms)

 
Imma leave the door open
(imma leave the door open)
Imma leave the door open girl
(Imma leave the door open, hopin)
 
That you feel the way I feel
And you want me like I want you tonight baby
(tell me that you're coming through) 

You're so sweet 
(so sweet)
 
So tight
(so tight)

 I won't bite
(ahh ahh)
 
Unless you like
(unless you like)
 
If you smoke
(what you smoke)

 I got that haze
(purple haze)
 
And if you're hungry girl I got filets
(woohooo)
 
Ooh baby don't keep me 
(waiting)
There's so much love we could be making
(Shamone)
I'm talking kissing, Cuddling
Rose petals in the bathtub
Girl lets jump in, It's bubblin

I aint playin no games
Every word that I say 
Is coming straight from the heart
So if you tryna lay in these arms
( if you tryna lay in these arms)

Imma leave the door open
(imma leave the door open)
Imma leave the door open girl
(Imma leave the door open, hopin)

That you feel the way I feel
And you want me like I want you tonight baby
(tell me that you're coming through)
 
La la laaa la la la laaa 
(I need you baby)
 
La la laaa la la la laaa
(I gotta see you baby)

La la laaa la la la laaa 
(Girl I'm tryna give you this)
(aaaaahhhhhhhhhh)

Imma leave my door open, baby
(imma leave the door open)
Imma leave, imma leave my door open girl
(Imma leave the door open, hopin)
And I'm hopin

Hopin that you feel the way I feel
And you want me like I want you tonight baby
(tell me that you're coming through)

 La la laaa la la la laaa
Tell me
(Tell me that you're coming through)

Woo, woo-woo, woo, woo-woo,woo
Woo-woo
Woo, woo-woo, woo, woo-woo,woo
Woo-woo 

La la laaa la la la laaa
(Tell me that you're coming through)

Girl, I'm here just waiting for you
Come on over, I'll adore you
(I gotta know)
(La la laaa la la la laaa)
I'm waiting, waiting, waiting for you

(Tell me that you're coming through)
Girl, I'm here just waiting for you
Come on over, I'll adore you","Becky Hill, David Guetta",Remember
"Ooh (Ooh)
Na-na, yeah
I saw you dancing in a crowded room (Uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye
I don't know why I run away (Oh)
I make you cry when I run away (Oh)
Take me back 'cause I wanna stay
Save your tears for another
Save your tears for another day (Oh)
Save your tears for another day (Mm)
Met you once under a Pisces moon
I kept my distance 'cause I know that you
Don't like when I'm with nobody else
I couldn't help it, I put you through hell
I don't know why I run away, oh boy (Run away, oh yeah; oh)
I make you cry when I run away (Away, oh; oh)
Boy, take me back 'cause I wanna stay
Save your tears for another
I realize that it's much too late
And you deserve someone better
Save your tears for another day (Oh)
Save your tears for another day (Oh)
I don't know why I run away (Oh)
I make you cry when I run away (Save)
Save your tears for another day (Ooh; oh)
Ooh, girl, I said (Okay)
Save (Save) your (Your) tears for another day (Oh yeah, yeah; oh)
Save your tears for another day (Oh)
Save your tears for another day (Oh)
Save your tears for another day",Yung Bae,Revolving (Feat. Marc E. Bassy)
"Wait a minute this love started out so tender, so sweet
But now she got me 
Smokin out the window

Must have spent 35, $45,000 up in Tiffany's (oh no)
Got her bad ass kids runnin round my whole crib like it's Chuck E Cheese (whoa, whoa)
Put me in a jam with her ex-man in the UFC
Can't believe it (can't believe it)
I'm in disbelief
This bitch got me payin her rent, payin for trips, diamonds on her neck, diamonds on her wrists
And here I am all alone (all alone)
I'm so cold, I'm so cold, you got me out here

Smokin out the window (smoking out the window)
Singing how could she do this to me (how could she do this to me)
Oh I thought that girl belonged to only me
But I was wrong
Cuz she belong to everybody, everybody

Just the other night she was grippin on me tight
Screamin Hercules (Hercules, Hercules)
Got me in the club looking for a new love someone help me please (help me please, help me please)
Baby why you doin this, why you doin this to me, girl
Not to be dramatic but I wanna die
This bitch got me paying her rent, paying for trips, diamonds on her neck, diamonds on her wrists
And here I am all alone. (All alone)
I'm so cold, I'm so cold.
You got me out here

Smokin out the window
(Smokin out the window of the Benzo, the Benzo)
Singin how could she do this to me (how could she do this)
Oh I thought that girl belonged to only me
(one things fo sho, one things for sho)
But I was wrong (I was wrong)
Cause she belong to everybody, everybody (Yeah, she belong to everybody, that girl yes she belong to everybody)

Oh no
Look here baby I hope you find whatever it is that you need
But I also hope that your trifling ass is walking round barefoot in these streets, lookout

Girl it breaks my heart that you ain't right here with me
Now I gotta give you back (gotta give you back) to the city
Oh, you got me

Smokin out the window
Singing how could she do this to me (How could she do this baby?)
Oh I thought that girl belonged to only me
But I was wrong (I was wrong)
Cause she belong to everybody (she belong to everybody)
She belong to everybody",Michael Jackson,Billie Jean
"I be so sick of you niggas, y'all contradicting
I be so bored with myself,
can you come and fuck me?
I feel so ordinary, sad when you around me
Treat me like corduroy, wear me out
Arguments, you air me out
Tripping 'bout your whereabouts
I can't keep no conflict with you,
boy, can we just rub it out?
I don't want no static with you,
you know you my plug
And I can't shake this habit, no
I've been up, baby
Heavy reminiscin'
Heavy on the missin' you
Wish shit was different than
what it was (Oh, yeah)
I've been up, baby
Lost in the lie of us
Lost, ain't no findin' us
I've been up, baby
And if you wondered if I hate you (I do)
Shitty of you to make me feel just like this
What I would do to make you feel
just like this
And if you wondered
if I hate you (Fuck you)
Shitty of you to makе me feel just like this
What I would do to make you feel
just likе this
Used to be too solid 'til you scrambled me
Used to be your rider, you mishandle me
Used to be nonviolent 'til you ambushed me
Now I'm out here wildin' with you
Now I'm out here, silent treatment,
that mean no permission (No)
Missionary gettin' boring,
can you switch positions? (Yeah)
Hard to save your soul,
you don't ever listen, no (No)
I've been up, baby
Heavy reminiscin'
Heavy on the missin' you
Wish shit was different than
what it was (Oh, yeah)
I've been up, baby
Lost in the lie of us
Lost, ain't no findin' us
I've been up, baby
And if you wondered if I hate you (I do)
Shitty of you to make me feel just like this
What I would do to make you feel
just like this
And if you wondered
if I hate you (Fuck you)
Shitty of you to make me feel just like this
What I would do to make you feel
just like this","Jonas Blue, HRVY",Younger
"Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey
Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch",Michael Jackson,You Are Not Alone
"I heard that you're settled down
당신이 정착했다고 들었어요

That you found a girl and you're married now
한 여자를 찾아서 지금 결혼했다고...

I heard that your dreams came true
당신 꿈들이 이루어졌다고 들었어요

Guess she gave you things I didn't give to you
그녀는 제가 당신께 주지 못했던 것들도 줬나 봐요



Old friend, why are you so shy?
오랜 친구여 왜 그렇게 수줍어 하나요

Ain't like you to hold back or hide from the light
감정을 숨기고 어둠 속에 숨는다면 당신 같지 않아요

I hate to turn up out of the blue, uninvited
제가 갑자기 불청객으로 나타나긴 싫지만
※out of the blue : 갑자기, 별안간

But I couldn't stay away, I couldn't fight it
전 멀리할 수도 없었고 그러려고 (저 자신과) 싸울 수도 없었어요

I had hoped you'd see my face
전 바랐었죠 당신이 제 얼굴을 보고

And that you'd be reminded that for me
제게 상기시켜주었으면 했어요..

It isn't over
아직 끝이 아니란 걸요...



Never mind, I'll find someone like you
괜찮아요, 당신 같은 누군가를 찾으면 돼요.

I wish nothing but the best of you too
당신이 행복하기만 바랄게요

Don't forget me, I beg
절 잊지 마세요, 제발요.

I remember you said
당신이 말했던 걸 기억해요

Sometimes it lasts in love
그 말이 사랑으로 남기도 하지만

But sometimes it hurts instead
이따금 상처가 되기도 해요

Sometimes it lasts in love
그 말이 사랑으로 남기도 하지만

But sometimes it hurts instead
이따금 상처가 되기도 해요



You know how the time flies
아시잖아요, 시간이 얼마나 빨리 흐르는지

Only yesterday was the time of our lives
우리가 살아온 시간이 어제가 다 인 것 같아요

We were born and raised in a summer haze
우린 여름 안개 속에서 태어나서 자랐어요

Bound by the surprise of our glory days
눈부신 나날들 속의 놀라움에 빠진 채로..



I hate to turn up out of the blue, uninvited
제가 갑자기 불청객으로 나타나긴 싫지만

But I couldn't stay away, I couldn't fight it
전 멀리할 수도 없었고 그러려고 (저 자신과) 싸울 수도 없었어요

I had hoped you'd see my face
전 바랐었죠 당신이 제 얼굴을 보고

And that you'd be reminded that for me
제게 상기시켜주었으면 했어요..

It isn't over
아직 끝이 아니란 걸요...



Never mind, I'll find someone like you
괜찮아요, 당신 같은 누군가를 찾으면 돼요.

I wish nothing but the best for you, too
당신이 행복하기만 바랄게요

Don't forget me, I beg
절 잊지 마세요, 제발요.

I remember you said
당신이 말했던 걸 기억해요

Sometimes it lasts in love
그 말이 사랑으로 남기도 하지만

But sometimes it hurts instead
이따금 상처가 되기도 해요



Nothing compares,
어느 것과도 비교할 수는 없어요

No worries or cares
걱정도 염려도 마세요

Regrets and mistakes,
후회와 실수들이란게

They're memories made
추억에서 만들어 진 것(만들어진 추억일) 뿐이에요

Who would have known how bittersweet this would taste?
누가 알았겠어요 추억이란게 이렇게 달콤하고도 씁쓸할지를요?



Never mind, I'll find someone like you
괜찮아요, 당신 같은 누군가를 찾으면 돼요.

I wish nothing but the best for you, too
당신이 행복하기만 바랄게요

Don't forget me, I beg
절 잊지 마세요, 제발요.

I remember you said
당신이 말했던 걸 기억해요

Sometimes it lasts in love
그 말이 사랑으로 남기도 하지만

But sometimes it hurts instead
이따금 상처가 되기도 해요



Never mind, I'll find someone like you
괜찮아요, 당신 같은 누군가를 찾으면 돼요.

I wish nothing but the best for you, too
당신이 행복하기만 바랄게요

Don't forget me, I beg
절 잊지 마세요, 제발요.

I remember you said
당신이 말했던 걸 기억해요

Sometimes it lasts in love
그 말이 사랑으로 남기도 하지만

But sometimes it hurts instead
이따금 상처가 되기도 해요

Sometimes it lasts in love
그 말이 사랑으로 남기도 하지만

But sometimes it hurts instead
이따금 상처가 되기도 해요","Kito, Vanjess, Channel Tres",Recap
"This part I do alone
I'll take my lead
I'll take my lead on this road
And I need something to hold
Make me believe in make beliefs
'Cause after the light is it dark
Is it dark all alone
All alone
You are now listening to 103.5 Dawn FFM
You've been in the dark for way too long
It's time to walk into the light
And accept your fate with open arms
Scared? Don't worry
We'll be there to hold 
your hand and guide 
you through this painless transition
But what's the rush?
Just relax and enjoy another 
hour of commercial *free yourself* 
music on 103.5 Dawn FM
Stay tuned",Kesha,Die Young
"It's five a.m. my time again
I've soaking up the moon, can't sleep
It's five a.m. my time again
I'm calling and you know it's me
I'm pushing myself further
I'm just trying to feel 
my heartbeat beat (Beat)
I wrap my hands around your neck
You love it when I always squeeze
It's five a.m. and I'm high again
And you can see that I'm in pain
I've fallen into emptiness
I want you 'cause we're both insane
I'm staring into the abyss
I'm looking at myself again
I'm dozing off to R.E.M
I'm trying not to lose my faith
And I love it when you watch me sleep
You spin me 'round so I can breathe
It's only safe for you and me
I know you won't let me OD
And if I finally die in peace
Just wrap my body in thеse sheets
And pour out the gasoline
It don't mеan much to me
It's five a.m., I'm nihilist
I know there's nothing after this
Obsessing over aftermaths
Apocalypse and hopelessness
The only thing I understand
Is zero sum of tenderness (Tenderness)
Oh baby, please just hold me close
Make me believe there's more to live
Around, around, around, around we go
In this game called life, we are not free
And I love it when you watch me sleep
You spin me 'round so I can breathe
It's only safe for you and me 
(Don't let me go)
I know you won't let me OD 
(Don't you let me go)
And if I finally die in peace (Oh yeah)
Just wrap my body in these sheets
And pour out the gasoline
It don't mean much to me","Celestal, A N G I E",Come Away
"Momentary nights in your paradise
I need your moments every night
'Cause you make a wrong feel like a right
Open blinded eyes
I don't know what the end is like
But I wanna be there with you

Tell me it's love you're not just craving my touch
Got some things to clean up, we'll be fine
While you face all your fears I promise I'll be right here
When you need me just call anytime
And we can float in the midnight river (Hmm)
We can fly through the moonlit sky (Hmm)
And wе can float in the midnight river
We can fly through thе moonlit sky
For the rest of our lives

Appreciating every magical encounter
That go with insecurities, they don't matter
All of the chatter, I'm in the mix, the batter
Had to play a batter, 'bout to swing and shatter
Any expectation, brand new revelation
Better conversation, with no limitation
Got no time to play it like a station, ayy
You know I'm on the way and I could almost taste the day
Taste the you, give a nigga déjà vu
Welcome back I feel like Ma$e did too, true
Hallelujah to the sky, feel like I died and went to Heaven
It's love and I just hope you get the message

Tell me it's love you're not just craving my touch
Got some things to clean up, we'll be fine
While you face all your fears I promise I'll be right here
When you need me just call anytime
And we can float in the midnight river
We can fly through the moonlit sky (Hmm)
And we can float in the midnight river
We can fly through the moonlit sky
For the rest of our lives


Tell me it's love you're not just craving my touch
Got some things to clean up, we'll be fine
While you face all your fears I promise I'll be right here
When you need me just call anytime
And we can float in the midnight river",Pop Mix,Ariana 34+35
"I was born in a city
Where the winter nights don't ever sleep
So this life is always with me
The ice inside my veins will never bleed
Every time you try to fix me
I know you'll never find that missing piece
When you cry and say you miss me
I lie and tell you that I'll never leave
But
I sacrifice
Your love for more of the night
I try to put up a fight
Can't tie me down
I don't want to sacrifice
For your love
I try
I don't want to sacrifice
But I love my time
I hold you through the toughest parts
Whеn you feel like it's the end
'Causе life is still worth living
'Cause life is still worth living
I can break you down and pick you up
And fuck like we are friends
But don't be catching feelings
Don't be out here catching feelings
'Cause
I sacrifice
Your love for more of the night
I try to put up a fight
Can't tie me down
I don't want to sacrifice
For your love
I try
I don't want to sacrifice
But I love my time
I don't want to sacrifice
For your love
I try
I don't want to sacrifice
But I love my time
Oh baby
I hope you know that I tried
Oh baby
I hope you know I love
My time
I don't want to sacrifice
I don't want to
I try
I don't want to sacrifice
But I love my time",NCT 127,Highway to Heaven (English Ver.)
"The last few months, 
I've been working on me, baby
There's so much trauma in my life
I've been so cold to the ones 
who loved me, baby
I look back now and realize
I remember when I held you
You begged me 
with your drowning eyes to stay
And I regret I didn't tell you
Now I can't keep you from loving him
You made up your mind
Say I love you, girl, but I'm out of time
Say I'm there for you, but I'm out of time
Say that I'll care for you, but I'm out of time
Said I'm too late to make you mine, 
out of time
If he mess up just a little
Baby, you know my line
If you don't trust him a little
Then come right back, girl, come right back
Gimme one chance, just a little
Baby, I'll treat you right
And I'll love you like 
I should've loved you all the time
I remember when I held you 
(Held you, baby)
You begged me with your drowning 
eyes to stay (Never again, baby)
And I regret I didn't tell you
Now I can't keep you from loving him
You made up your mind
Say I love you, girl, but I'm out of time
Say I'm there for you, but I'm out of time
Say that I'll care for you, but I'm out of time
Said I'm too late to make you mine, 
out of time
Oh, singing, out of time
Said I had you to myself
But I'm out of time
Say that I'll care for you, but I'm out of time
But I'm too late to make you mine, 
out of time
Out of time
Out of time
Don't you dare touch that dial
Because like the song says, 
you are out of time
You're almost there, but don't panic
There's still more music to come
Before you're completely 
engulfed in the blissful 
embrace of that little light 
you see in the distance
Soon you'll be healed, 
forgiven and refreshed
Free from all trauma, pain, guilt and shame
You may even forget your own name
But before you dwell in that house forever
Here's thirty minutes of easy 
listening to some slow tracks
On 103.5 Dawn FM
Listen through?",Daniel Blume,Better
