lyrics,singer,song
"Okay
Yeah, I'm a bad boy doin' good things
Got a lemonade whip, chicken wings
With a bad bitch and she quite thick
So I might just cop myself a chain tonight
Slim shawty with a tank top
I'ma let her munch it on my cake pop, yeah-yeah
Yung Bae will make your hips drop
So I might just take your woman for a night
Everybody in the whole building
I said, everybody in the whole building
Come on, follow along, feel the groove
And get yourself to move
Get your ass to the dance floor
I said, get your ass to the dance floor
Come on, follow along, feel the groove
Yeah, there's no one to prove
Pick a girl, pick a boy
Spin around like a toy
Grab 'em hands, pull 'em close
Push 'em back, do the most, yeah
Pick a girl (come on), pick a boy (come on)
Spin around (come on), like a toy (ayy)
Grab 'em hands (come on, hahaha), pull 'em close (come on)
Push 'em back, baby, do the most, let's go
Trace gettin' bad, she got a nice ass
I heard this wheel, mane, got no plastic
Tired of broke fools wanna be where the cash is
Tired of bad weed, wanna be where the gas is
I walk in, the girls appear like magic
Keep shit clean, you don't want no static
Got the drink, oh, weed rolled automatic
Party all night, lotta fun, gotta have it, let's go
Everybody in the whole building (hahaha)
I said, everybody in the whole building (I party and you partyin' too)
Come on, follow along, feel the groove (that's what we do)
And get yourself to move (okay)
Get your ass to the dance floor (get your ass up)
I said, get your ass to the dance floor
Come on, follow along, feel the groove
Yeah, there's no one to prove (yup)
Pick a girl, pick a boy
Spin around like a toy (ooh)
Grab 'em hands, pull 'em close
Push 'em back, do the most, yeah
Pick a girl (come on), pick a boy (come on)
Spin around (let's go), like a toy (baby)
Grab 'em hands (Yung Bae), pull 'em close
Push 'em back, baby, do the most (let's do it)
Pick a girl (come on), pick a boy (come on)
Spin around (come on) like a toy (I said)
Grab 'em hands (come on), pull 'em close (come on)
Push 'em back (come on), do the most, yeah
Get your ass up, hahaha
I'm a bad boy
I'm a little rough, let's go",Avicii,Waiting For Love
"Baby, can't you see  
I'm calling  
A guy like you  
Should wear a wa
ing 
It's dangerous  
I'm falling 

There's no escape 
I can't wait  
I need a hit  
Baby, give me it 
You're dangerous  
I'm loving it 

Too high  
Can't come down 
Losing my head 
Spinning round and round  
Do you feel me now? 

With a taste of your lips  
I'm on a ride 
You're toxic 
I'm slipping under 
With a taste of poison paradise  
l'm addicted to you 
Don't you know that you're toxic?  
And I love what you do 
Don't you know that you're toxic  

It's getting late 
To give you up 
I took a sip 
From my devil's cup 
Slowly 
It's taking over me 

Too high 
Can't come down 
It's in the air 
And it's all around 
Can you feel it now 

With a taste of your lips 
I'm on a ride 
You're toxic 
I'm slipping under 
With a taste of poison paradise 
I'm addicted to you 
Don't you know that you're toxic? 
And I love what you do 
Don't you know that you're toxic 

Don't you know that you're toxic 

Taste of my lips, 
l'm on a ride  
You're toxic 
I'm slipping under 
With a taste of poison paradise 
I'm addicted to you 
Don't you know that you're toxic? 

With a taste of your lips
l'm on a ride
You're toxic
l'm slipping under(toxic)
With a taste of poison paradise
l'm addicted to you
Don't you know that you're toxic

intoxicate me now  
With your loving now
I think I'm ready now  
I think I'm ready now 
intoxicate me now 
With your loving now 
I think I'm ready now",Calvin Harris,"Feels (Feat. Pharrell Williams, Katy Perry, Big Sean)"
"One two three

I been running from the pain
Trying not to feel the same
But it's a shame that we're sinking
See my confidence is shaking
And my heart is feeling vacant
So you try to fill it in

You say 
I can fix the broken in your heart
You're worth saving darling
But I don't know
why you're shooting in the dark
I got faith in nothing

But love pray for me
I never had somebody
So I don't know how to love
Pray for me
I know I need somebody
So I can learn how to love

I know it's been a while
Cause my memory's on trial
For the way I used to be
My head is running miles
Round in circles and I try
To find the little light in me

You say
I can fix the broken in your heart
You're worth saving darling
But I don't know
why you're shooting in the dark
I got faith in nothing

But love pray for me
I never had somebody
So I don't know how to love
Pray for me
I know I need somebody
So I can learn how to love

I know I need somebody
I know I need somebody
I know I need somebody
So I can learn how to love
How to love
How to love
So I can learn how to love
How to love
How to love
How to love
Love love love love love love oh
I know I need somebody
I know I need somebody
I know I need somebody
So I can learn how to love
Need somebody now
How to love love
How to love love","Yung Bae, Wiz Khalifa, bbno$, MAX","Bad Boy (with Wiz Khalifa, bbno$, MAX)"
"Where should we run to?
We got the world in our hands and we're ready to play
They say we're wasted
But how can we waste it if we're loving every day?
Okay, I got the keys to the universe
So stay with me 'cause I got the keys, babe

Don't wanna wake up one day wishing that we'd done more
I wanna live fast and never look back, it's what we're here for
Don't wanna wake up one day wondering where'd it all go
'Cause we'll be home before we know, I wanna hear you singing

Hey, mama, don't stress your mind
We ain't coming home tonight
Hey, ma, we're gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind

Mama, mama, mama, yeah
We ain't coming home tonight
Mama, mama, mama, yeah
We ain't coming home tonight

Where should we run to?
We got a ticket that takes us wherever we like
We got our problems
But just for the minute, let's push all our troubles aside
Alright 'cause we got the keys to universe
Inside our minds, yeah, we got the keys, babe

Don't wanna wake up one day wishing that we'd done more
I wanna live fast and never look back, it's what we're here for
Don't wanna wake up one day wondering where'd it all go
'Cause we'll be home before we know, I wanna hear you singing

Hey, mama, don't stress your mind
We ain't coming home tonight
Hey, ma, we're gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind

Hey, mama, don't stress your mind
We ain't coming home tonight
Hey, ma, we're gonna be alright
Dry those eyes
We'll be back in the morning when the sun starts to rise
So mama, don't stress your mind
So mama, don't stress your mind

Mama, mama, mama, yeah
We ain't coming home tonight
Mama, mama, mama, yeah
We ain't coming home tonight ",Britney Spears,Toxic
"How could you ever leave me without a chance to try
How can I be sorry if I don't know the crime
I should be mad cause you never told me why
Still I can't seem to say goodbye

When I try to fall back I fall back to you
When I talk to my friends I talk about you
When the hennessy's strong all I see is you
Is you Is you 
No I haven't moved on but trust me I've tried
If I give you a call don't hang up the line
When the hennessy's strong all I see is you
Is you Is you 

I'm good at overthinking
But I haven't even got this far
All I know is that my mind is in the backseat of your corvette car
You got me at my baddest
And you got me round fingertip
Should be fed up with your bullshit
But everything about you no I can't resist

How could you ever leave me without a chance to try
How can I be sorry if I don't know the crime
I should be mad that you never told me why
Still I can't seem to say goodbye

When I try to fall back I fall back to you
When I talk to my friends I talk about you
When the Jealousy's strong all I see is you
Is you Is you 
No I haven't moved on but trust me I've tried
If I give you a call don't hang up the line
When the Jealousy's strong all I see is you
Is you Is you 
Is you ,you
Is you Is you

I see your face in every stranger and everywhere I go 
I hear your voice in conversations every word you spoke
Nearly blocked you on my phone about a thousand times
Yeah I know I should say goodbye
Yeah I know I should say goodbye

When I try to fall back I fall back to you
When I talk to my friends I talk about you
When the hennessy's strong all I see is you
Is you Is you 
No I haven't moved on but trust me I've tried
If I give you a call don't hang up the line
When the hennessy's strong all I see is you
Is you Is you ",Cash Cash,How To Love (Feat. Sofia Reyes)
"One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
Let me take the night 
I love real easy
And I know that 
you'll still wanna see me
On the Sunday morning 
music real loud
Let me love you 
while the moon is still out
Something in you lit up 
heaven in me
The feeling won't let me sleep
'Cause I'm lost in the way 
you move 
the way you feel
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One
One
One
One
I just wanna feel your skin on mine
Feel your eyes do the exploring
Passion in the message 
when you smile
Take my time
Something in you lit up 
heaven in me
The feeling won't let me sleep
'Cause I'm lost in the way 
you move 
the way you feel
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One
One
One
One
See a wonderland in your eyes
Might need your company tonight
Something in you lit up 
heaven in me
The feeling won't let me sleep
'Cause I'm lost in the way 
you move 
the way you feel
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One kiss is all it takes
Fallin' in love with me
Possibilities
I look like all you need
One
One
One
One",Jonas Blue,Mama (Feat. William Singe)
"When the days stop hurting and the rain has dried
I know you're the person I want by my side
Scared to let my heart go free and dive in blind
'Cause love and heartbreak, they walk a thin line
Yeah, nobody can love me like you
But that means you got the power to hurt me too
When I fall in deep, Say you'll follow me
'Cause I really need To know that you'll stick around
When my walls come down, Won't be phased by what's underneath
Yeah, you know I've been hurt
But I'm learning what love's like with you, Like with you
Oh, when I fall in deep, Say you'll follow me
Show me how far we can go (Whoa, oh-oh-oh, Whoa, oh-oh-oh)
Say you'll follow me, say you'll follow me (Whoa, oh-oh-oh, Whoa, oh-oh-oh)
Say you'll follow me, say you'll follow me
I have my reasons for taking it slow
'Cause we all got demons, yeah, we all got ghosts
But every time I've broken down, you've picked me up
Yeah, you put back all the pieces I thought that I'd lost
Yeah, nobody can love me like you
But that means you got the power to hurt me too
When I fall in deep, Say you'll follow me
'Cause I really need To know that you'll stick around
When my walls come down Won't be phased by what's underneath (what's underneath)
Yeah, you know I've been hurt
But I'm learning what love's like with you (like with you) Like with you (like with you)
Oh, when I fall in deep, Say you'll follow me
Show me how far we can go (Whoa, oh-oh-oh, Whoa, oh-oh-oh)
Say you'll follow me, say you'll follow me (Whoa, oh-oh-oh, Whoa, oh-oh-oh)
Show me how far we can go (Whoa, oh-oh-oh, Whoa, oh-oh-oh)
Say you'll follow me, say you'll follow me (Whoa, oh-oh-oh, Whoa, oh-oh-oh)
Say you'll follow me, say you'll follow me (Whoa, oh, oh, Whoa, oh, oh)
Say you'll follow me, say you'll follow me","Regard, Troye Sivan, Tate McRae",You
"Can I tell you something just between you and me?
When I hear your voice, I know I'm finally free
Every single word is perfect as it can be
And I need you here with me
When you lift me up, I know that I'll never fall
I can speak to you by saying nothing at all
Every single time, I find it harder to breathe
'Cause I need you here with me

Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me

I think I see your face in every place that I go
I try to hide it, but I know that it's gonna show
Every single night, I find it harder to sleep
'Cause I need you here with me

Everyday
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me
Every day
You're saying the words that I want you to say
There's a pain in my heart and it won't go away
Now I know I'm falling in deep
'Cause I need you here with me

Can I tell you something just between you and me?
When I hear your voice, I know I'm finally free
Every single word is perfect as it can be
'Cause I need you here with me","Calvin Harris, Dua Lipa",One Kiss
"[Verse 1]
I never meant to leave you hurting 
I never meant to do the worst thing
Not to you
(It solo, solo, everyday)
'Cause every time I read your message
I wish I wasn't one of your exes
Now I'm the fool
(It solo, solo, everyday)
Since you've been gone
Been dancing on my own
There's boys up in my zone
But they can't turn me on
'Cause baby you're the only one I'm coming for
I can't take no more

I wanna fxxx, but i'm broken hearted
Cry but I like to party
Touch but I got nobody
Here on my own
I wanna fxxx, but i'm broken hearted
Cry since the day we parted
Touch but I got nobody
So I do it solo
It solo, everybody
It solo, everybody
It solo, everybody
I do it solo
It solo everybody
It solo, everybody
It solo, everybody
I do it solo

[Verse 2]
Every single night I lose it
I can't even hear the music 
Without you
(It solo, solo, everybody)
Try to stop myself from calling
But I really wanna know if you're 
With someone new
(It solo, solo, everybody)
Since you've been gone
I've been dancing on my own
There's boys up in my zone
But they can't turn me on
'Cause baby you're the only one I'm coming for
I can't take no more

I wanna fxxx, but i'm broken hearted
Cry but I like to party
Touch but I got nobody
Here on my own

I wanna fxxx, but i'm broken hearted
Cry since the day we parted
Touch but I got nobody
So I do it solo
It solo, everybody
It solo, everybody
It solo, everybody
I do it solo
It solo everybody
It solo, everybody
It solo, everybody
I do it solo

Can't do it solo
I wanna fxxx, but i'm broken hearted
Cry but I like to party
Touch but I got nobody
Here on my own
I wanna fxxx, but i'm broken hearted
Cry since the day we parted
Touch but I got nobody

So I do it solo
It solo, solo, everybody
It solo, solo, everybody
It solo, solo, everybody
I do it solo
It solo, solo, everybody
It solo, solo, everybody
It solo, solo, everybody
I do it solo","Sam Feldt, Rita Ora",Follow Me
"I love you, baby, and if it's quite all right
I need you, lately, to warm these lonely nights
I love you, baby
Trust in me when I say
I love you, baby, and if it's quite all right
I need you, lately, to warm these lonely nights
I love you, baby
Trust in me when I say
I love you
I love you, baby
I love you, baby, and if it's quite all right
I need you, lately, to warm these lonely nights
I love you, baby
Trust in me when I say
I love you, baby, and if it's quite all right
I need you, lately, to warm these lonely nights
I love you, baby
Trust in me when I say
I love you
I love you, baby
I love you, baby, and if it's quite all right
I need you, lately, to warm these lonely nights
I love you, baby
Trust in me when I say
I love you
I love you, baby
I love you, baby, and if it's quite all right
I need you, lately, to warm these lonely nights
I love you, baby
Trust in me when I say
I love you, baby, and if it's quite all right
I need you, lately, to warm these lonely nights
I love you, baby
Trust in me when I say",Marshmello,Here With Me (Feat. CHVRCHES)
